domain,pattern,num_models,novel_strategy_count
Algebra,Gemini,1,2
Algebra,GPT,1,1
Combinatorics,GPT+Gemini+DeepSeek+Claude,4,1
Combinatorics,GPT+Gemini+DeepSeek,3,2
Combinatorics,Gemini+DeepSeek+Claude,3,2
Combinatorics,GPT+DeepSeek,2,2
Combinatorics,GPT+Gemini,2,2
Combinatorics,Gemini+Claude,2,1
Combinatorics,Gemini+DeepSeek,2,1
Combinatorics,Gemini,1,7
Combinatorics,DeepSeek,1,1
Combinatorics,GPT,1,1
Geometry,GPT+Gemini+DeepSeek+Claude,4,1
Geometry,GPT+Gemini+DeepSeek,3,1
Geometry,Gemini+DeepSeek+Claude,3,1
Geometry,GPT+DeepSeek,2,1
Geometry,Gemini,1,2
Geometry,GPT,1,1
Number Theory,Gemini+DeepSeek,2,1
Number Theory,DeepSeek,1,2
Number Theory,Gemini,1,1
Probability,GPT+Gemini+DeepSeek+Claude,4,1
Probability,GPT+Gemini+DeepSeek,3,2
Probability,GPT+DeepSeek+Claude,3,1
Probability,Gemini+DeepSeek+Claude,3,1
Probability,GPT+Gemini,2,1
Probability,Gemini+DeepSeek,2,1
Probability,GPT,1,3
Probability,Gemini,1,3
Probability,DeepSeek,1,2
Probability,Claude,1,1
